1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.004873,-0.003940,0.011400,0.000530,-0.000110,-0.009204,-0.044440,-0.015205,0.489126,0.633441,0.640993,0.638902,0.654677,0.665872,0.701285,0.636498
-0.007651,-0.017356,0.013215,-0.010888,-0.001444,-0.018886,-0.046843,-0.015571,0.442994,0.582084,0.586332,0.601283,0.613139,0.634523,0.695082,0.637099
-0.016137,-0.022479,0.007518,-0.024965,-0.003230,-0.024416,-0.049244,-0.014559,0.445781,0.555068,0.559459,0.580364,0.585414,0.610659,0.691030,0.637112
-0.017693,-0.027144,0.000671,-0.036158,-0.005974,-0.029673,-0.051309,-0.015013,0.453304,0.540676,0.543594,0.581958,0.566664,0.592595,0.689287,0.636167
-0.015813,-0.029279,-0.005080,-0.048007,-0.009993,-0.032960,-0.053348,-0.014486,0.469396,0.534777,0.535077,0.583333,0.553498,0.577929,0.689066,0.634116
-0.016267,-0.034374,-0.008983,-0.056863,-0.012021,-0.035698,-0.055837,-0.012820,0.472499,0.528836,0.531555,0.589250,0.544021,0.565976,0.688554,0.631463
-0.013899,-0.032022,-0.009492,-0.063453,-0.013810,-0.039448,-0.058457,-0.013805,0.475881,0.525970,0.528788,0.584894,0.537784,0.557232,0.688664,0.629028
-0.015694,-0.036526,-0.013174,-0.066616,-0.015007,-0.042130,-0.060752,-0.012524,0.469960,0.525195,0.526406,0.580961,0.536331,0.551217,0.691727,0.626119
-0.011310,-0.036292,-0.015833,-0.064590,-0.017009,-0.046153,-0.062382,-0.012045,0.476815,0.527285,0.526690,0.577780,0.534670,0.546897,0.691107,0.624267
-0.013773,-0.037993,-0.019791,-0.069000,-0.018763,-0.049613,-0.065514,-0.011612,0.480067,0.525694,0.526732,0.579013,0.535820,0.544063,0.692941,0.622222
-0.013817,-0.040538,-0.018675,-0.068086,-0.022760,-0.051577,-0.066797,-0.010493,0.476670,0.526323,0.525537,0.576260,0.535905,0.542309,0.690797,0.619661
-0.020873,-0.035636,-0.017886,-0.073055,-0.023053,-0.054384,-0.067014,-0.010658,0.486701,0.530260,0.523994,0.579627,0.537812,0.540891,0.690872,0.617392
-0.006838,-0.043792,-0.018967,-0.073850,-0.023608,-0.056962,-0.068482,-0.010293,0.480680,0.534386,0.524538,0.582083,0.538786,0.540166,0.692028,0.614989
-0.009732,-0.045276,-0.020640,-0.078245,-0.026219,-0.058180,-0.069772,-0.010692,0.482677,0.536306,0.522039,0.583378,0.541306,0.539560,0.691681,0.615384
-0.007590,-0.043596,-0.020929,-0.077653,-0.025788,-0.058901,-0.070186,-0.010001,0.485435,0.537571,0.523600,0.585069,0.541959,0.539876,0.690714,0.613907
